	20	299	100
	10	15	12615	1372	100
	1	41	8
	2	11	7
	3	42	1
	4	15	13
	5	13	8
	6	32	1
	7	21	2
	8	38	17
	9	11	7
	10	39	16
	11	47	4
	12	40	1
	13	44	17
	14	34	18
	15	12	11
	16	21	6
	17	30	19
	18	17	7
	19	6	20
	20	46	1
	21	14	8
	22	16	4
	23	48	10
	24	35	15
	25	16	11
	26	21	10
	27	46	11
	28	17	5
	29	20	3
	30	19	6
	31	23	12
	32	8	10
	33	31	1
	34	37	17
	35	17	9
	36	40	17
	37	28	17
	38	41	10
	39	5	17
	40	17	18
	41	28	6
	42	34	18
	43	41	6
	44	12	8
	45	5	1
	46	46	1
	47	27	9
	48	40	13
	49	39	8
	50	10	2
	51	15	19
	52	40	1
	53	17	11
	54	25	1
	55	20	20
	56	11	9
	57	7	4
	58	17	3
	59	9	2
	60	33	9
	61	5	1
	62	16	3
	63	38	16
	64	11	15
	65	12	8
	66	42	5
	67	10	2
	68	39	9
	69	25	2
	70	42	6
	71	13	8
	72	46	6
	73	10	9
	74	14	7
	75	32	13
	76	41	12
	77	37	1
	78	24	14
	79	13	4
	80	26	15
	81	13	7
	82	39	14
	83	44	7
	84	20	4
	85	19	8
	86	27	14
	87	11	1
	88	35	1
	89	8	15
	90	17	3
	91	8	18
	92	28	11
	93	35	16
	94	22	14
	95	29	16
	96	36	5
	97	23	3
	98	30	20
	99	39	6
	100	7	18
	4	6	82418	2578	100
	1	11	8
	2	34	7
	3	49	1
	4	8	13
	5	47	8
	6	31	1
	7	47	2
	8	23	17
	9	15	7
	10	7	16
	11	36	4
	12	27	1
	13	49	17
	14	6	18
	15	20	11
	16	15	6
	17	36	19
	18	14	7
	19	48	20
	20	37	1
	21	17	8
	22	14	4
	23	37	10
	24	36	15
	25	39	11
	26	17	10
	27	47	11
	28	15	5
	29	48	3
	30	42	6
	31	44	12
	32	13	10
	33	27	1
	34	28	17
	35	46	9
	36	30	17
	37	14	17
	38	32	10
	39	42	17
	40	28	18
	41	45	6
	42	39	18
	43	32	6
	44	27	8
	45	27	1
	46	28	1
	47	14	9
	48	24	13
	49	24	8
	50	21	2
	51	14	19
	52	8	1
	53	49	11
	54	6	1
	55	10	20
	56	11	9
	57	43	4
	58	31	3
	59	29	2
	60	32	9
	61	23	1
	62	47	3
	63	35	16
	64	20	15
	65	46	8
	66	38	5
	67	39	2
	68	43	9
	69	23	2
	70	17	6
	71	46	8
	72	8	6
	73	37	9
	74	48	7
	75	36	13
	76	28	12
	77	18	1
	78	26	14
	79	7	4
	80	19	15
	81	13	7
	82	25	14
	83	15	7
	84	36	4
	85	8	8
	86	26	14
	87	9	1
	88	38	1
	89	20	15
	90	5	3
	91	21	18
	92	31	11
	93	38	16
	94	43	14
	95	9	16
	96	26	5
	97	47	3
	98	47	20
	99	15	6
	100	8	18
	12	1	34481	3406	100
	1	45	8
	2	24	7
	3	29	1
	4	40	13
	5	24	8
	6	32	1
	7	13	2
	8	34	17
	9	31	7
	10	24	16
	11	38	4
	12	39	1
	13	49	17
	14	44	18
	15	48	11
	16	39	6
	17	24	19
	18	28	7
	19	49	20
	20	16	1
	21	12	8
	22	24	4
	23	30	10
	24	35	15
	25	29	11
	26	39	10
	27	14	11
	28	36	5
	29	34	3
	30	21	6
	31	23	12
	32	38	10
	33	38	1
	34	37	17
	35	37	9
	36	46	17
	37	44	17
	38	22	10
	39	10	17
	40	43	18
	41	16	6
	42	35	18
	43	49	6
	44	39	8
	45	19	1
	46	29	1
	47	33	9
	48	36	13
	49	37	8
	50	12	2
	51	7	19
	52	49	1
	53	5	11
	54	6	1
	55	12	20
	56	36	9
	57	41	4
	58	32	3
	59	43	2
	60	10	9
	61	41	1
	62	27	3
	63	49	16
	64	14	15
	65	12	8
	66	30	5
	67	47	2
	68	49	9
	69	27	2
	70	48	6
	71	11	8
	72	34	6
	73	33	9
	74	33	7
	75	39	13
	76	32	12
	77	8	1
	78	30	14
	79	36	4
	80	44	15
	81	37	7
	82	29	14
	83	17	7
	84	32	4
	85	33	8
	86	21	14
	87	45	1
	88	18	1
	89	42	15
	90	42	3
	91	47	18
	92	35	11
	93	30	16
	94	31	14
	95	9	16
	96	5	5
	97	22	3
	98	20	20
	99	33	6
	100	27	18
	10	3	32799	1409	100
	1	15	8
	2	28	7
	3	22	1
	4	32	13
	5	32	8
	6	31	1
	7	46	2
	8	21	17
	9	41	7
	10	13	16
	11	41	4
